644,86,655,122
668,86,681,122
686,86,699,122
711,86,724,122
98,166,207,210
223,166,227,210
239,166,344,210
354,166,444,210
455,166,479,210
491,166,565,210
579,166,639,210
651,166,727,210
742,166,748,210
759,166,830,210
843,166,846,210
861,166,908,210
920,166,1115,210
1277,166,1290,210
98,219,128,250
141,219,196,250
207,219,285,250
298,219,303,250
404,219,405,250
1220,254,1290,376
98,377,741,462
746,377,1077,462
1284,377,1289,462
97,465,367,506
375,465,380,506
391,465,528,506
540,465,646,506
667,465,918,506
939,465,1066,506
1086,465,1195,506
1268,465,1289,506
98,507,206,547
217,507,302,547
314,507,398,547
411,507,415,547
428,507,496,547
507,507,617,547
629,507,723,547
735,507,809,547
822,507,838,547
849,507,907,547
912,507,917,547
931,507,986,547
998,507,1172,547
1185,507,1189,547
135,548,197,589
230,548,474,589
497,548,722,589
743,548,1251,589
1283,548,1291,589
97,593,151,630
165,593,190,630
202,593,221,630
232,593,326,630
340,593,349,630
362,593,635,630
647,593,686,630
700,593,901,630
914,593,1159,630
1282,593,1290,630
98,632,144,673
158,632,240,673
252,632,266,673
276,632,334,673
345,632,463,673
474,632,478,673
491,632,497,673
510,632,645,673
657,632,767,673
780,632,860,673
872,632,878,673
891,632,929,673
950,632,1070,673
1083,632,1088,673
1109,632,1225,673
1283,632,1291,673
96,680,321,716
332,680,382,716
394,680,455,716
468,680,505,716
518,680,524,716
534,680,733,716
746,680,751,716
764,680,802,716
814,680,974,716
987,680,996,716
96,720,1187,802
1195,720,1291,802
97,809,172,844
182,809,327,844
339,809,585,844
597,809,668,844
682,809,687,844
96,847,179,930
184,847,1084,930
1096,847,1290,930
1320,847,1338,930
96,932,234,973
246,932,292,973
305,932,321,973
332,932,397,973
409,932,472,973
482,932,663,973
674,932,777,973
790,932,796,973
803,932,976,973
988,932,1024,973
1036,932,1055,973
1067,932,1106,973
1119,932,1124,973
1136,932,1174,973
1283,932,1289,973
97,980,129,1013
142,980,288,1013
299,980,330,1013
341,980,379,1013
394,980,398,1013
132,1018,214,1058
226,1018,392,1058
403,1018,630,1058
642,1018,742,1058
754,1018,893,1058
905,1018,937,1058
949,1018,1015,1058
1027,1018,1069,1058
1083,1018,1180,1058
1269,1018,1285,1058
96,1059,156,1102
167,1059,231,1102
247,1059,253,1102
266,1059,379,1102
407,1059,459,1102
471,1059,514,1102
525,1059,531,1102
545,1059,583,1102
597,1059,797,1102
826,1059,907,1102
936,1059,1035,1102
1063,1059,1191,1102
1249,1059,1289,1102
97,1103,150,1143
163,1103,219,1143
228,1103,288,1143
301,1103,378,1143
390,1103,575,1143
588,1103,593,1143
604,1103,762,1143
772,1103,896,1143
907,1103,942,1143
954,1103,1047,1143
1060,1103,1066,1143
1076,1103,1155,1143
1165,1103,1228,1143
1237,1103,1274,1143
1281,1103,1287,1143
96,1145,133,1184
146,1145,354,1184
366,1145,590,1184
602,1145,695,1184
708,1145,787,1184
800,1145,933,1184
942,1145,1011,1184
1021,1145,1114,1184
1282,1145,1289,1184
95,1193,236,1227
247,1193,324,1227
336,1193,523,1227
537,1193,541,1227
131,1237,137,1280
559,1237,681,1280
693,1237,827,1280
1251,1237,1252,1280
595,1294,763,1331
769,1294,777,1331
800,1294,805,1331
132,1345,218,1386
239,1345,350,1386
372,1345,536,1386
557,1345,799,1386
819,1345,979,1386
991,1345,1127,1386
1140,1345,1232,1386
1258,1345,1289,1386
97,1387,165,1429
197,1387,235,1429
264,1387,359,1429
373,1387,378,1429
391,1387,449,1429
467,1387,509,1429
533,1387,938,1429
963,1387,1014,1429
1036,1387,1110,1429
1267,1387,1290,1429
99,1438,156,1464
169,1438,173,1464
566,1479,781,1522
812,1479,818,1522
130,1529,163,1570
177,1529,182,1570
195,1529,310,1570
323,1529,467,1570
479,1529,575,1570
588,1529,707,1570
719,1529,762,1570
773,1529,778,1570
791,1529,913,1570
929,1529,997,1570
1012,1529,1016,1570
477,1585,488,1629
512,1585,524,1629
546,1585,559,1629
584,1585,647,1629
663,1585,780,1629
796,1585,889,1629
906,1585,911,1629
130,1635,136,1674
150,1635,287,1674
299,1635,401,1674
412,1635,493,1674
507,1635,558,1674
571,1635,668,1674
680,1635,724,1674
737,1635,875,1674
899,1635,1067,1674
1084,1635,1226,1674
1237,1635,1242,1674
1254,1635,1292,1674
1355,1635,1359,1674
96,1680,154,1719
166,1680,176,1719
189,1680,228,1719
241,1680,272,1719
287,1680,318,1719
333,1680,377,1719
393,1680,415,1719
420,1680,459,1719
472,1680,477,1719
